Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
,Sandy Springs Unique Vehicles,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"6465 RIVERSIDE DR, SANDY SPGS, GA 30328-2703",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30328-2703,,,,,,"","",
,Savannah History Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"303 MARTIN LUTHER KING J, SAVANNAH, GA 31401-4217",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.chsgeorgia.org,,,,,,"","","",,,,,,,,,,31401-4217,,,,,,"","",
,Savannah Youth Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Savannah, Georgia, USA",,,,,"14 BRANDLE LN SAVANNAH, SAVANNAH, GA 31405",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.savannahchildrensmuseum.org,,,,,,"","","",,,,,,,,,,31405,,,,,,"","",
,Scottish Rite Valley Of Atlanta Preservation Trust,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Atlanta, Georgia, USA",,,,,"1690 PEACHTREE ST NW, ATLANTA, GA 30357-1387",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.atlantascottishrite.org/,,,,,,"","","",,,,,,,,,,30357-1387,,,,,,"","",
,Scull Shoals,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Greensboro, Georgia, USA",,,,,,,,Greensboro,,,Greene County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.fs.usda.gov/recarea/conf/recarea/?recid=10555,,,,,,"","","",,,,,,,295,,,30642-0295,,,,,,"","",
,Seabrook Village,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Midway, Georgia, USA",,,,,"660 TRADE HILL RD, MIDWAY, GA 31320-6215",,,Midway,,,Liberty County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.seabrookvillagefoundation.org/,,,,,,"","","",,,,,,,,,,31320-6215,,,,,,"","",
,Senoia Area Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Senoia, Georgia, USA",,,,,"6 COUCH STREET, SENOIA, GA 30276",,,Senoia,,,Coweta County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.senoiaareahistoricalsociety.org/,,,,,,"","","",,,,,,,,,,30276,,,,,,"","",
,Seven Springs Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Powder Springs, Georgia, USA",,,,,,,,Powder Springs,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.cityofpowdersprings.org/154/Seven-Springs-Historical-Society,,,,,,"","","",,,,,,,2005,,,30127-7507,,,,,,"","",
,Seven Springs Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Powder Springs, Georgia, USA",,,,,"  ",,,Powder Springs,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://sevenspringsmuseum.org/,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Silver Stars Square Dance Club,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Lavonia, Georgia, USA",,,,,"236 RUE SAINT JOAN, LAVONIA, GA 30553-2487",,,Lavonia,,,Franklin County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.silverstarssquaredance.com/,,,,,,"","","",,,,,,,,,,30553-2487,,,,,,"","",
