Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013), Source Notes, Internal Notes
,Pioneer Historical Society,,,"historical society in McRae, Georgia, United States",,,,,"19 Honeysuckle Lane, McRae, Georgia 31055",,,McRae,,,Telfair County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.059387, -82.907498",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31055,,,,,,,
,Prater's Mill Foundation,,,"historical society in Varnell, Georgia, United States",,,,,,,,Varnell,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,30756-1008,,,,,,,
,Rabun County Historical Society,,,"historical society in Clayton, Georgia, United States",,,,,,,,Clayton,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,,,30525-0024,,,,,,,
,Richmond Hill Historical Society,,,"historical society in Richmond Hill, Georgia, United States",,,,,,,,Richmond Hill,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,,,31324-0381,,,,,,,
,Roosevelt Warm Springs Institute Library,,,"historical society in Warm Springs, Georgia, United States",,,,,,,,Warm Springs,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,31830-0100,,,,,,,
,Roswell Historical Society,,,"historical society in Roswell, Georgia, United States",,,,,,,,Roswell,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636,,,30077,,,,,,,
,"Savannah-Ogeechee Canal Society, Inc.",,,"historical society in Savannah, Georgia, United States",,,,,"681 Fort Argyle Rd, Savannah, Georgia 31419-9239",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.023091, -81.316793",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31419-9239,,,,,,,
,Screven County History Buffs,,,"historical society in Sylvania, Georgia, United States",,,,,"124 W. Telephone Street, Sylvania, Georgia 30467",,,Sylvania,,,Screven County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.749347, -81.637439",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30467,,,,,,,
,Smyrna Historical & Genealogical Society,,,"historical society in Smyrna, Georgia, United States",,,,,"825 Austin Dr SE, Smyrna, Georgia 30082-3305",,,Smyrna,,,Cobb County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.861094, -84.532293",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30082-3305,,,,,,,
,Snellville Historical Society,,,"historical society in Snellville, Georgia, United States",,,,,"2145 North Road, Snellville, Georgia 30078",,,Snellville,,,Gwinnett County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.863954, -84.016059",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30078,,,,,,,
